description,players,cost_est,issue_date,issue_year,issue_month,issue_day,address,lat,lng,boundaries,permit_number,_permit_year
"PHASE 2 TIE-IN AND CLIMB SCHEDULE FOR A POTAIN MD485 TEMPORARY TOWER CRANE, AS PER PLANS.","Scott TimcoKohout ChristopherLend Lease (Us) Construction,Tribco Construction Services","$60,000.00",3/23/2015,2015,3,23,1000 S Clark St,41.8698480,-87.6306550,"4 (ward)LOOP (communityarea)South Loop (neighborhood)60605 (zip)River South (tif)South (township)District 01, Beat 0123 (chipolicebeat)District 1 - Central (chipolicedistrict)3 (cookcountydistrict)Lake Michigan Area boundary (mcpier)Sonya M. Harper (6th) (illinoishouse)Mattie Hunter (3rd) (illinoissenate)Phillips Hs (HS) (cpsattendance)",100582206,2015
TIED-IN LIEBHERR 316 EC-H 12 LITRONIC TOWER CRANE PHASE 2 - 5,Rich DeleoConnolly Eamonn F.James Mchugh Construction Co,"$40,000.00",3/5/2015,2015,3,5,201 N Garland Ct,41.8857920,-87.6251160,"42 (ward)LOOP (communityarea)The Loop (neighborhood)60601 (zip)South (township)District 01, Beat 0111 (chipolicebeat)District 1 - Central (chipolicedistrict)2 (cookcountydistrict)Lake Michigan Area boundary (mcpier)Kenneth Dunkin (5th) (illinoishouse)Mattie Hunter (3rd) (illinoissenate)Phillips Hs (HS) (cpsattendance)",100581164,2015
"PHASE 1 FOUNDATION SUPPORT FOR THE INSTALLATION AND OPERATION OF A PEINER SK415 TEMPORARY TOWER CRANE, AS PER PLANS.",Stephen BusKohout ChristopherTishman Construction CorporatiAdjustable Forms Inc.,"$60,000.00",2/23/2015,2015,2,23,504 N Green St,41.8913380,-87.6489420,"27 (ward)WEST TOWN (communityarea)Fulton River District (neighborhood)60642 (zip)Enterprise Zone 4 (enterprisezone)West (township)District 12, Beat 1214 (chipolicebeat)District 12 - Near West (chipolicedistrict)12 (cookcountydistrict)Lake Michigan Area boundary (mcpier)Neighbors of West Loop (neighborhoodorganization)Pamela Reaves-Harris (10th) (illinoishouse)Patricia Van Pelt (5th) (illinoissenate)Wells Hs (HS) (cpsattendance)",100578749,2015
"PHASE 1: BASE SUPPORT AND SET-UP FOR A PEINER SK-415 TEMPORARY TOWER CRANE, AS PER PLANS.","Mike De LannoyKohout ChristopherFocus Construction, IncConcrete Structures Of The","$60,000.00",2/9/2015,2015,2,9,730 W Couch Pl,41.8852130,-87.6469960,"27 (ward)NEAR WEST SIDE (communityarea)West Town (neighborhood)60661 (zip)Near West (tif)Enterprise Zone 4 (enterprisezone)West (township)District 12, Beat 1224 (chipolicebeat)District 12 - Near West (chipolicedistrict)2 (cookcountydistrict)Lake Michigan Area boundary (mcpier)Neighbors of West Loop (neighborhoodorganization)Arthur Turner (9th) (illinoishouse)Patricia Van Pelt (5th) (illinoissenate)Wells Hs (HS) (cpsattendance)",100575230,2015
TIED-IN POTAIN MR415 TOWER CRANE - PHASES 2 THRU 5,Michael SchwartzmanConnolly Eamonn F.James Mchugh Construction Co,"$40,000.00",2/6/2015,2015,2,6,25 W Randolph St,41.8843750,-87.6288650,"42 (ward)LOOP (communityarea)The Loop (neighborhood)60602 (zip)South (township)12015 (ssa)District 01, Beat 0111 (chipolicebeat)District 1 - Central (chipolicedistrict)2 (cookcountydistrict)Lake Michigan Area boundary (mcpier)Kenneth Dunkin (5th) (illinoishouse)Mattie Hunter (3rd) (illinoissenate)Phillips Hs (HS) (cpsattendance)",100577428,2015
"PHASE 1 FOUNDATION DESIGN FOR THE INSTALLATION AND OPERATION OF THE NORTH TEMPORARY TOWER CRANE #1: MANITOWOC MD485, AS PER PLANS.","Kohout ChristopherM. A. Mortenson CompanyIi In One Contractors, Inc.Eric Eichler","$60,000.00",1/16/2015,2015,1,16,5500 S University Ave,41.7950070,-87.5982790,"5 (ward)HYDE PARK (communityarea)Hyde Park (neighborhood)60637 (zip)Hyde Park Kenwood Historic District (nationalregister)Hyde Park (township)District 02, Beat 0235 (chipolicebeat)District 2 - Wentworth (chipolicedistrict)3 (cookcountydistrict)Barbara Flynn Currie (25th) (illinoishouse)Kwame Raoul (13th) (illinoissenate)Kenwood Hs (HS) (cpsattendance)",100566432,2015
"PHASE 1 FOUNDATION DESIGN FOR THE INSTALLATION AND OPERATION OF MANITOWOC MR415 TEMPORARY TOWER CRANE, AS PER PLANS.","Prasan KaleKohout ChristopherWalsh Construction Company Ii,Walsh Construction Company","$60,000.00",1/12/2015,2015,1,12,1001 S State St,41.8698390,-87.6273320,"4 (ward)LOOP (communityarea)South Loop (neighborhood)60605 (zip)Near South (tif)South (township)District 01, Beat 0123 (chipolicebeat)District 1 - Central (chipolicedistrict)3 (cookcountydistrict)Lake Michigan Area boundary (mcpier)Kenneth Dunkin (5th) (illinoishouse)Mattie Hunter (3rd) (illinoissenate)Phillips Hs (HS) (cpsattendance)",100567439,2015
INSTALL TEMPORARY TIMBERLAND ASD35-110 DERRICK CRANE ON LEVEL 7,James KellyConnolly Eamonn F.James Mchugh Construction Co,"$30,000.00",1/6/2015,2015,1,6,845 N State St,41.8979860,-87.6280880,"2 (ward)NEAR NORTH SIDE (communityarea)Gold Coast (neighborhood)60611 (zip)North (township)District 18, Beat 1833 (chipolicebeat)District 18 - Near North (chipolicedistrict)12 (cookcountydistrict)Lake Michigan Area boundary (mcpier)Kenneth Dunkin (5th) (illinoishouse)Mattie Hunter (3rd) (illinoissenate)Wells Hs (HS) (cpsattendance)",100571213,2015
"PHASE 1 FOUNDATION, SET UP AND OPERATION OF A POTAIN MR415 TEMPORARY TOWER CRANE, AS PER PLANS.","Matthew CisonKohout ChristopherOptima, Inc.Concrete Structures Of The","$60,000.00",12/30/2014,2014,12,30,220 E Illinois St,41.8910850,-87.6217030,"42 (ward)NEAR NORTH SIDE (communityarea)Streeterville (neighborhood)60611 (zip)North (township)District 18, Beat 1834 (chipolicebeat)District 18 - Near North (chipolicedistrict)3 (cookcountydistrict)Lake Michigan Area boundary (mcpier)Streeterville Organization of Active Residents (SOAR) (neighborhoodorganization)Christian L. Mitchell (26th) (illinoishouse)Kwame Raoul (13th) (illinoissenate)Wells Hs (HS) (cpsattendance)",100561114,2014
TIED-IN POTAIN MD485 TOWER CRANE PHASES 2 & 3,Jim WalshConnolly Eamonn F.James Mchugh Construction Co,"$30,000.00",12/10/2014,2014,12,10,326 N Orleans St,41.8879840,-87.6365310,"42 (ward)NEAR NORTH SIDE (communityarea)River North (neighborhood)60654 (zip)North (township)District 18, Beat 1831 (chipolicebeat)District 18 - Near North (chipolicedistrict)2 (cookcountydistrict)Lake Michigan Area boundary (mcpier)Sonya M. Harper (6th) (illinoishouse)Mattie Hunter (3rd) (illinoissenate)Wells Hs (HS) (cpsattendance)",100571832,2014
"INSTALLATION AND OPERATION OF A TEMPORARY TOWER CRANE: PECCO SN-160-16, AS PER PLANS.","John RutledgeKohout Christopher FW. E. O'neil Construction Co.O'neil Industries, Inc.","$60,000.00",12/2/2014,2014,12,2,360 N Michigan Ave,41.8881400,-87.6246950,"42 (ward)LOOP (communityarea)The Loop (neighborhood)60601 (zip)Michigan Wacker Historic District (nationalregister)South (township)District 01, Beat 0111 (chipolicebeat)District 1 - Central (chipolicedistrict)2 (cookcountydistrict)Lake Michigan Area boundary (mcpier)Kenneth Dunkin (5th) (illinoishouse)Mattie Hunter (3rd) (illinoissenate)Ogden (ES) (cpsattendance)",100567445,2014
"INSTALLATION AND OPERATION OF A TIMBERLAND 35 TON DERRICK CRANE AT THE ROOF OF THE BUILDING, AS PER PLANS.","Kohout ChristopherPower Construction Company, LlEd Case","$60,000.00",11/3/2014,2014,11,3,355 E Erie St,41.8941330,-87.6181790,"42 (ward)NEAR NORTH SIDE (communityarea)Gold Coast (neighborhood)60611 (zip)North (township)District 18, Beat 1834 (chipolicebeat)District 18 - Near North (chipolicedistrict)3 (cookcountydistrict)Lake Michigan Area boundary (mcpier)Streeterville Organization of Active Residents (SOAR) (neighborhoodorganization)Christian L. Mitchell (26th) (illinoishouse)Kwame Raoul (13th) (illinoissenate)Wells Hs (HS) (cpsattendance)",100564787,2014
"PHASE 1 FOUNDATION SUPPORT FOR THE INSTALLATION AND OPERATION OF A PEINER SK415 TOWER CRANE TEMPORARY TOWER CRANE, AS PER PLANS.",Jeremy KermanKohout ChristopherLeopardo Companies IncAdjustable Forms Inc,"$60,000.00",10/17/2014,2014,10,17,4 E Elm St,41.9032960,-87.6283670,"2 (ward)NEAR NORTH SIDE (communityarea)Gold Coast (neighborhood)60610 (zip)Gold Coast Historic District (nationalregister)North (township)District 18, Beat 1824 (chipolicebeat)District 18 - Near North (chipolicedistrict)3 (cookcountydistrict)Lake Michigan Area boundary (mcpier)Gold Coast Neighbors (neighborhoodorganization)Christian L. Mitchell (26th) (illinoishouse)Kwame Raoul (13th) (illinoissenate)Ogden (ES) (cpsattendance)",100560055,2014
INSTALL POTAIN MR415 TOWER CRANE - PHASE 1,Michael SchwartzmanConnolly Eamonn F.James Mchugh Construction Co,"$24,000.00",10/17/2014,2014,10,17,25 W Randolph St,41.8843750,-87.6288650,"42 (ward)LOOP (communityarea)The Loop (neighborhood)60602 (zip)South (township)12015 (ssa)District 01, Beat 0111 (chipolicebeat)District 1 - Central (chipolicedistrict)2 (cookcountydistrict)Lake Michigan Area boundary (mcpier)Kenneth Dunkin (5th) (illinoishouse)Mattie Hunter (3rd) (illinoissenate)Phillips Hs (HS) (cpsattendance)",100560597,2014
USE OF INTERNAL TG1900 TOWER CRANE TO ERECT NEW BUILDING.,"Thomas D'arcyScheld JamesLend Lease (Us) Construction,","$100,000.00",10/16/2014,2014,10,16,444 W Lake St,41.8858290,-87.6398060,"42 (ward)NEAR WEST SIDE (communityarea)Fulton River District (neighborhood)60606 (zip)River West (tif)West (township)District 12, Beat 1214 (chipolicebeat)District 12 - Near West (chipolicedistrict)2 (cookcountydistrict)Lake Michigan Area boundary (mcpier)Neighbors of West Loop (neighborhoodorganization)Sonya M. Harper (6th) (illinoishouse)Mattie Hunter (3rd) (illinoissenate)Wells Hs (HS) (cpsattendance)",100564098,2014
"PHASE 1 FOUNDATION SUPPORT FOR THE INSTALLATION AND OPERATION OF A LIEBHERR 420 EC-H 16 TEMPORARY TOWER CRANE, AS PER PLANS.","545 Investors Llc C/o Golub & Company, LlcKohout ChristopherWalsh Construction Company Ii,Walsh Construction Company","$60,000.00",10/3/2014,2014,10,3,545 N Mcclurg Ct,41.8923890,-87.6175600,"42 (ward)NEAR NORTH SIDE (communityarea)Gold Coast (neighborhood)60611 (zip)North (township)District 18, Beat 1834 (chipolicebeat)District 18 - Near North (chipolicedistrict)3 (cookcountydistrict)Lake Michigan Area boundary (mcpier)Streeterville Organization of Active Residents (SOAR) (neighborhoodorganization)Christian L. Mitchell (26th) (illinoishouse)Kwame Raoul (13th) (illinoissenate)Wells Hs (HS) (cpsattendance)",100553105,2014
"PHASE 2 TIE-IN AND CLIMB SCHEDULE FOR A MANITOWOC MD485 TEMPORARY TOWER CRANE, AS PER PLANS.","W. Harris SmithKohout ChristopherSmithfield Construction Group,Concrete Structures Of The","$60,000.00",9/23/2014,2014,9,23,805 N La Salle Dr,41.8968020,-87.6325660,"2 (ward)NEAR NORTH SIDE (communityarea)Near North (neighborhood)60610 (zip)North (township)District 18, Beat 1832 (chipolicebeat)District 18 - Near North (chipolicedistrict)12 (cookcountydistrict)Lake Michigan Area boundary (mcpier)Kenneth Dunkin (5th) (illinoishouse)Mattie Hunter (3rd) (illinoissenate)Wells Hs (HS) (cpsattendance)",100559418,2014
INSTALL FREE STANDING LIEBHERR 316 EC-H 12 LITRONIC TOWER CRANE PHASE 1,Rich DeleoConnolly Eamonn F.James Mchugh Construction Co,"$20,000.00",9/15/2014,2014,9,15,201 N Garland Ct,41.8857920,-87.6251160,"42 (ward)LOOP (communityarea)The Loop (neighborhood)60601 (zip)South (township)District 01, Beat 0111 (chipolicebeat)District 1 - Central (chipolicedistrict)2 (cookcountydistrict)Lake Michigan Area boundary (mcpier)Kenneth Dunkin (5th) (illinoishouse)Mattie Hunter (3rd) (illinoissenate)Phillips Hs (HS) (cpsattendance)",100557737,2014
"INSTALLATION AND OPERATION OF A SELF CLIMBING LOW CAPACITY PALFINGER PSM 200-8 BOOM CRANE MOUNTED ON LINDEN COMANSA TOWER SECTIONS, AS PER PLANS.","Len GreccoKohout ChristopherWalsh Construction Company Ii,Walsh Construction Company","$40,000.00",8/20/2014,2014,8,20,66 E Wacker Pl,41.8869230,-87.6253860,"42 (ward)LOOP (communityarea)The Loop (neighborhood)60601 (zip)Michigan Wacker Historic District (nationalregister)South (township)District 01, Beat 0111 (chipolicebeat)District 1 - Central (chipolicedistrict)2 (cookcountydistrict)Lake Michigan Area boundary (mcpier)Kenneth Dunkin (5th) (illinoishouse)Mattie Hunter (3rd) (illinoissenate)Ogden (ES) (cpsattendance)",100548236,2014
"PHASE 1 FOUNDATION SUPPORT FOR THE INSTALLATION AND OPERATION OF PEINER SK315 TEMPORARY TOWER CRANE, AS PER PLANS.",Cameron JohnsonKohout ChristopherTishman Construction CorporatiAdjustable Forms Inc,"$60,000.00",8/15/2014,2014,8,15,707 N Wells St,41.8950510,-87.6340120,"42 (ward)NEAR NORTH SIDE (communityarea)River North (neighborhood)60654 (zip)North (township)District 18, Beat 1832 (chipolicebeat)District 18 - Near North (chipolicedistrict)12 (cookcountydistrict)Lake Michigan Area boundary (mcpier)Kenneth Dunkin (5th) (illinoishouse)Mattie Hunter (3rd) (illinoissenate)Wells Hs (HS) (cpsattendance)",100553092,2014
"PHASE 1 FOUNDATION AND INITIAL SET-UP OF A TEMPORARY TOWER CRANE: MANITOWOC MD485, AS PER PLANS.","Scott TimcoeKohout ChristopherLend Lease (Us) Construction,Tribco Construction Services","$60,000.00",8/15/2014,2014,8,15,1000 S Clark St,41.8698480,-87.6306550,"4 (ward)LOOP (communityarea)South Loop (neighborhood)60605 (zip)River South (tif)South (township)District 01, Beat 0123 (chipolicebeat)District 1 - Central (chipolicedistrict)3 (cookcountydistrict)Lake Michigan Area boundary (mcpier)Sonya M. Harper (6th) (illinoishouse)Mattie Hunter (3rd) (illinoissenate)Phillips Hs (HS) (cpsattendance)",100544143,2014
"** REVISED POTAIN MD485 TOWER CRANE TIE-IN, PHASE 2, 3 & 4, ORIGINAL PERMIT#100543474, PHASE 1 PERMIT #100512620",James KellyConnolly Eamonn F.James Mchugh Construction Co,"$24,000.00",8/7/2014,2014,8,7,845 N State St,41.8979860,-87.6280880,"2 (ward)NEAR NORTH SIDE (communityarea)Gold Coast (neighborhood)60611 (zip)North (township)District 18, Beat 1833 (chipolicebeat)District 18 - Near North (chipolicedistrict)12 (cookcountydistrict)Lake Michigan Area boundary (mcpier)Kenneth Dunkin (5th) (illinoishouse)Mattie Hunter (3rd) (illinoissenate)Wells Hs (HS) (cpsattendance)",100552280,2014
"PHASE 1 FOUNDATION SUPPORT FOR THE INSTALLATION AND OPERATION OF A MANITOWOC MD485 TEMPORARY TOWER CRANE, AS PER PLANS.","Nancy S CarreonKohout ChristopherLend Lease (Us) Construction,Adjustable Forms Inc","$60,000.00",8/6/2014,2014,8,6,625 W Division St,41.9035870,-87.6443320,"27 (ward)NEAR NORTH SIDE (communityarea)Goose Island (neighborhood)60610 (zip)Near North (tif)Enterprise Zone 4 (enterprisezone)North (township)District 18, Beat 1822 (chipolicebeat)District 18 - Near North (chipolicedistrict)3 (cookcountydistrict)Lake Michigan Area boundary (mcpier)Near North Unity Project (neighborhoodorganization)Arthur Turner (9th) (illinoishouse)Patricia Van Pelt (5th) (illinoissenate)Lincoln Park Hs (HS) (cpsattendance)",100548241,2014
"PHASE 2 TOWER CRANE TIE-IN AND CLIMB SCHEDULE FOR A PEINER SK415 TEMPORARY TOWER CRANE, AS PER PLANS.","Mike WarrenKohout ChristopherPower Construction Company, LlConcrete Structures Of The","$60,000.00",7/17/2014,2014,7,17,1457 N Halsted St,41.9080020,-87.6480500,"27 (ward)NEAR NORTH SIDE (communityarea)Goose Island (neighborhood)60642 (zip)Near North (tif)North (township)District 18, Beat 1822 (chipolicebeat)District 18 - Near North (chipolicedistrict)3 (cookcountydistrict)Lake Michigan Area boundary (mcpier)Near North Unity Project (neighborhoodorganization)Arthur Turner (9th) (illinoishouse)Patricia Van Pelt (5th) (illinoissenate)Lincoln Park Hs (HS) (cpsattendance)",100548390,2014
"PHASE 2: TIE-IN AND CLIMB SCHEDULE FOR THE SOUTH TEMPORARY TOWER CRANE - MANITOWOC MR605B, AS PER PLANS.","Ed CaseKohout ChristopherPower Construction Company, LlJames Mchugh Construction Co.","$60,000.00",7/9/2014,2014,7,9,355 E Erie St,41.8941330,-87.6181790,"42 (ward)NEAR NORTH SIDE (communityarea)Gold Coast (neighborhood)60611 (zip)North (township)District 18, Beat 1834 (chipolicebeat)District 18 - Near North (chipolicedistrict)3 (cookcountydistrict)Lake Michigan Area boundary (mcpier)Streeterville Organization of Active Residents (SOAR) (neighborhoodorganization)Christian L. Mitchell (26th) (illinoishouse)Kwame Raoul (13th) (illinoissenate)Wells Hs (HS) (cpsattendance)",100533747,2014
"PHASE 1 INSTALLATION AND OPERATION OF A LIEBHERR 630 EC-H 20 TEMPORARY TOWER CRANE, AS PER PLANS.","Kohout ChristopherWalsh Construction Company Ii,Walsh Construction CompanyPeter Chmielewski","$60,000.00",6/27/2014,2014,6,27,11 S Green St,41.8813940,-87.6483730,"27 (ward)NEAR WEST SIDE (communityarea)Greektown (neighborhood)60607 (zip)Near West (tif)Enterprise Zone 4 (enterprisezone)West (township)District 12, Beat 1232 (chipolicebeat)District 12 - Near West (chipolicedistrict)2 (cookcountydistrict)Lake Michigan Area boundary (mcpier)Neighbors of West Loop (neighborhoodorganization)Arthur Turner (9th) (illinoishouse)Patricia Van Pelt (5th) (illinoissenate)Wells Hs (HS) (cpsattendance)",100543717,2014
"THE PHASE 1 FOUNDATION DESIGN FOR THE INSTALLATION AND OPERATION OF A PECCO SK225 TEMPORARY TOWER CRANE, AS PER PLANS.",Vince CordosKohout ChristopherCordos Development & AssociateCeco Concrete Construction Llc,"$60,000.00",6/19/2014,2014,6,19,7331 N Sheridan Rd,42.0150110,-87.6645220,"49 (ward)ROGERS PARK (communityarea)Rogers Park (neighborhood)60626 (zip)Rogers Park (township)District 24, Beat 2423 (chipolicebeat)District 24 - Rogers Park (chipolicedistrict)13 (cookcountydistrict)Kelly M. Cassidy (14th) (illinoishouse)Heather A. Steans (7th) (illinoissenate)Sullivan Hs (HS) (cpsattendance)",100543714,2014
"PHASE 1: FOUNDATION, SET-UP AND OPERATION OF TEREX PEINER SK415 TEMPORARY TOWER CRANE, AS PER PLANS.","Dave GutierrezKohout ChristopherLend Lease (Us) Construction,Adjustable Forms Inc","$60,000.00",5/13/2014,2014,5,13,1333 S Wabash Ave,41.8648080,-87.6256230,"3 (ward)NEAR SOUTH SIDE (communityarea)South Loop (neighborhood)60605 (zip)Near South (tif)South (township)District 01, Beat 0131 (chipolicebeat)District 1 - Central (chipolicedistrict)2 (cookcountydistrict)Lake Michigan Area boundary (mcpier)Kenneth Dunkin (5th) (illinoishouse)Mattie Hunter (3rd) (illinoissenate)Phillips Hs (HS) (cpsattendance)",100536547,2014
"PHASE 2: TIE-IN AND CLIMB SCHEDULE FOR THE NORTH TEMPORARY TOWER CRANE - MANITOWOC MR605B, AS PER PLANS.","Kohout ChristopherPower Construction Company, LlJames Mchugh Construction Co.Ed Case","$60,000.00",4/14/2014,2014,4,14,355 E Erie St,41.8941330,-87.6181790,"42 (ward)NEAR NORTH SIDE (communityarea)Gold Coast (neighborhood)60611 (zip)North (township)District 18, Beat 1834 (chipolicebeat)District 18 - Near North (chipolicedistrict)3 (cookcountydistrict)Lake Michigan Area boundary (mcpier)Streeterville Organization of Active Residents (SOAR) (neighborhoodorganization)Christian L. Mitchell (26th) (illinoishouse)Kwame Raoul (13th) (illinoissenate)Wells Hs (HS) (cpsattendance)",100533743,2014
INSTALL FREE STANDING POTAIN MD485 TOWER CRANE PHASE 1,Jim WalshConnolly Eamonn F.James Mchugh Construction Co,"$20,000.00",4/14/2014,2014,4,14,326 N Orleans St,41.8879840,-87.6365310,"42 (ward)NEAR NORTH SIDE (communityarea)River North (neighborhood)60654 (zip)North (township)District 18, Beat 1831 (chipolicebeat)District 18 - Near North (chipolicedistrict)2 (cookcountydistrict)Lake Michigan Area boundary (mcpier)Sonya M. Harper (6th) (illinoishouse)Mattie Hunter (3rd) (illinoissenate)Wells Hs (HS) (cpsattendance)",100531161,2014
INSTALL FREE STANDING PEINER SK575 TOWER CRANE,City Colleges Of ChicagoConnolly Eamonn F.James Mchugh Construction Co,"$20,000.00",4/4/2014,2014,4,4,1820 W Jackson Blvd,41.8776390,-87.6725350,"27 (ward)NEAR WEST SIDE (communityarea)Near West Side (neighborhood)60612 (zip)Central West (tif)Enterprise Zone 4 (enterprisezone)West (township)District 12, Beat 1225 (chipolicebeat)District 12 - Near West (chipolicedistrict)2 (cookcountydistrict)Near West Side Community Development Corporation (CDC) (neighborhoodorganization)Arthur Turner (9th) (illinoishouse)Patricia Van Pelt (5th) (illinoissenate)Wells Hs (HS) (cpsattendance)",100532325,2014
"PHASE 2: TOWER CRANE TIE-IN AND CLIMB SCHEDULE FOR MANITOWOC MD485, AS PER PLANS.","Patrick WildeKohout ChristopherLend Lease (Us) Construction,Adjustable Forms Inc","$60,000.00",4/2/2014,2014,4,2,220 W Illinois St,41.8908830,-87.6349740,"42 (ward)NEAR NORTH SIDE (communityarea)River North (neighborhood)60654 (zip)North (township)District 18, Beat 1831 (chipolicebeat)District 18 - Near North (chipolicedistrict)12 (cookcountydistrict)Lake Michigan Area boundary (mcpier)Kenneth Dunkin (5th) (illinoishouse)Mattie Hunter (3rd) (illinoissenate)Wells Hs (HS) (cpsattendance)",100531818,2014
"** REVISED TOWER CRANE PERMIT: REFERENCE PERMIT #100508089 (PEINER SK415 TEMPORARY TOWER CRANE). THE TOWER CRANE CAISSONS HAVE BEEN REVISED FROM BELLED CAISSONS TO ROCK BEARING CAISSONS, PER THE ATTACHED PLANS.","Robert BearlundKohout ChristopherPower Construction Company, LlR. Olson Const. Co.","$60,000.00",2/19/2014,2014,2,19,331 W Surf St,41.9342610,-87.6380650,"44 (ward)LAKE VIEW (communityarea)Lake View East (neighborhood)60657 (zip)Lake View (township)District 19, Beat 1934 (chipolicebeat)District 19 - Town Hall (chipolicedistrict)10 (cookcountydistrict)Sara Feigenholtz (12th) (illinoishouse)John J. Cullerton (6th) (illinoissenate)Lake View Hs (HS) (cpsattendance)",100527221,2014
"INSTALLATION AND OPERATION OF A TEMPORARY TOWER CRANE: MANITOWOC MR415 LUFFING JIB CRANE, AS PER PLANS.","Peter SchlechtKohout ChristopherPower Construction Company, LlPower Construction Company","$60,000.00",2/7/2014,2014,2,7,16 E Pearson St,41.8976400,-87.6275490,"2 (ward)NEAR NORTH SIDE (communityarea)Gold Coast (neighborhood)60611 (zip)14-16 East Pearson Street (Edwin S. Hartwell Houses) (nationalregister)North (township)District 18, Beat 1833 (chipolicebeat)District 18 - Near North (chipolicedistrict)12 (cookcountydistrict)Lake Michigan Area boundary (mcpier)Kenneth Dunkin (5th) (illinoishouse)Mattie Hunter (3rd) (illinoissenate)Wells Hs (HS) (cpsattendance)",100520843,2014
"PHASE 1: FOUNDATION, SET-UP AND OPERATION OF MANITOWOC MR415 TEMPORARY TOWER CRANE, AS PER PLANS.","Ziggy ClaytonKohout ChristopherLend Lease (Us) Construction,Adjustable Forms Inc","$60,000.00",2/7/2014,2014,2,7,28 N Franklin St,41.8826490,-87.6354730,"42 (ward)LOOP (communityarea)The Loop (neighborhood)60606 (zip)LaSalle Central (tif)South (township)District 01, Beat 0122 (chipolicebeat)District 1 - Central (chipolicedistrict)2 (cookcountydistrict)Lake Michigan Area boundary (mcpier)Sonya M. Harper (6th) (illinoishouse)Mattie Hunter (3rd) (illinoissenate)Phillips Hs (HS) (cpsattendance)",100524593,2014
PHASE 2: TOWER CRANE TIE-IN AND CLIMB SCHEDULE FOR A MANITOWOC MD485 TEMPORARY TOWER CRANE AS PER PLANS.,"Martin WalzKohout ChristopherPower Construction Company, LlGoebel Forming, Inc.","$45,000.00",2/6/2014,2014,2,6,765 W Adams St,41.8791170,-87.6466070,"27 (ward)NEAR WEST SIDE (communityarea)Greektown (neighborhood)60661 (zip)Near West (tif)Enterprise Zone 4 (enterprisezone)West (township)16 (ssa)District 12, Beat 1232 (chipolicebeat)District 12 - Near West (chipolicedistrict)2 (cookcountydistrict)Lake Michigan Area boundary (mcpier)Neighbors of West Loop (neighborhoodorganization)Arthur Turner (9th) (illinoishouse)Patricia Van Pelt (5th) (illinoissenate)Wells Hs (HS) (cpsattendance)",100524538,2014
SET UP AND OPERATION OF A TEMPORARY TOWER CRANE: MANITOWOC MD485 AS PER PLANS.,Joe VartanianKohout ChristopherClark Construction Group ChicaAdjustable Forms Inc,"$60,000.00",2/5/2014,2014,2,5,601 W Jackson Blvd,41.8778880,-87.6426090,"42 (ward)NEAR WEST SIDE (communityarea)West Loop Gate (neighborhood)60661 (zip)Canal St/Congress Expy (tif)West (township)District 01, Beat 0121 (chipolicebeat)District 1 - Central (chipolicedistrict)2 (cookcountydistrict)Lake Michigan Area boundary (mcpier)Neighbors of West Loop (neighborhoodorganization)Arthur Turner (9th) (illinoishouse)Patricia Van Pelt (5th) (illinoissenate)Wells Hs (HS) (cpsattendance)",100522699,2014
FOUNDATION SUPPORT AND SET-UP OF A POTAIN SK415 TEMPORARY TOWER CRANE AS PER PLANS.,"David CulcasiKohout ChristopherLend Lease (Us) Construction,Adjustable Forms Inc","$60,000.00",1/23/2014,2014,1,23,1362 E 59th St,41.7879560,-87.5923340,"5 (ward)HYDE PARK (communityarea)Hyde Park (neighborhood)60637 (zip)Hyde Park Kenwood Historic District (nationalregister)Hyde Park (township)District 02, Beat 0235 (chipolicebeat)District 2 - Wentworth (chipolicedistrict)3 (cookcountydistrict)Barbara Flynn Currie (25th) (illinoishouse)Kwame Raoul (13th) (illinoissenate)Kenwood Hs (HS) (cpsattendance)",100521713,2014
PHASE 1: BASE SUPPORT AND SET-UP FOR PEINER SK-415 TEMPORARY TOWER CRANE AS PER PLANS.,"Mike WarrenKohout ChristopherPower Construction Company, LlConcrete Structures Of The","$60,000.00",1/14/2014,2014,1,14,1457 N Halsted St,41.9080020,-87.6480500,"27 (ward)NEAR NORTH SIDE (communityarea)Goose Island (neighborhood)60642 (zip)Near North (tif)North (township)District 18, Beat 1822 (chipolicebeat)District 18 - Near North (chipolicedistrict)3 (cookcountydistrict)Lake Michigan Area boundary (mcpier)Near North Unity Project (neighborhoodorganization)Arthur Turner (9th) (illinoishouse)Patricia Van Pelt (5th) (illinoissenate)Lincoln Park Hs (HS) (cpsattendance)",100521704,2014
"PHASE 1 FOUNDATION AND INITIAL SET-UP OF A MANITOWOC MD485 TEMPORARY TOWER CRANE, AS PER PLANS.","W. Harris SmithKohout ChristopherSmithfield Construction Group,Concrete Structures Of The","$60,000.00",12/10/2013,2013,12,10,805 N La Salle Dr,41.8968020,-87.6325660,"2 (ward)NEAR NORTH SIDE (communityarea)Near North (neighborhood)60610 (zip)North (township)District 18, Beat 1832 (chipolicebeat)District 18 - Near North (chipolicedistrict)12 (cookcountydistrict)Lake Michigan Area boundary (mcpier)Kenneth Dunkin (5th) (illinoishouse)Mattie Hunter (3rd) (illinoissenate)Wells Hs (HS) (cpsattendance)",100514335,2013
